Couple,Season,Location,Name,Age,Gender,Occupation,Decision,Status,DrPepperSchwartz,DrLoganLevkoff,DrJosephCilona,ChaplainGregEpstein,PastorCalvinRoberson,RachelDeAlto,DrJessicaGriffin,DrVivianaColes
1,1,New York City and Northern New Jersey,Jamie Otis-Hehner,27,F,Nurse,Yes,Married,1,1,1,1,0,0,0,0
1,1,New York City and Northern New Jersey,Doug Hehner,31,M,Software salesman,Yes,Married,1,1,1,1,0,0,0,0
2,1,New York City and Northern New Jersey,Cortney Hendrix,26,F,Make-up artist,Yes,Divorced,1,1,1,1,0,0,0,0
2,1,New York City and Northern New Jersey,Jason Carrion,27,M,Fireman,Yes,Divorced,1,1,1,1,0,0,0,0
3,1,New York City and Northern New Jersey,Monet Bell,33,F,Product development manager,No,Divorced,1,1,1,1,0,0,0,0
3,1,New York City and Northern New Jersey,Vaughn Copeland,30,M,Field service technician,No,Divorced,1,1,1,1,0,0,0,0
4,2,New York City and Northern New Jersey,Jaclyn Methuen,30,F,Vodka saleswoman,Yes,Divorced,1,1,1,1,0,0,0,0
4,2,New York City and Northern New Jersey,Ryan Ranellone,28,M,Real estate agent,Yes,Divorced,1,1,1,1,0,0,0,0
5,2,New York City and Northern New Jersey,Davina Kullar (now Davis),34,F,Pharmaceutical saleswoman,No,Divorced,1,1,1,1,0,0,0,0
5,2,New York City and Northern New Jersey,Sean Varricchio,35,M,Trauma nurse,No,Divorced,1,1,1,1,0,0,0,0
6,2,New York City and Northern New Jersey,Jessica Castro,30,F,Receptionist,Yes,Divorced,1,1,1,1,0,0,0,0
6,2,New York City and Northern New Jersey,Ryan DeNino/Oehl,29,M,Businessman,Yes,Divorced,1,1,1,1,0,0,0,0
7,3,"Atlanta, Georgia",Vanessa Nelson,26,F,Event manager,Yes,Divorced,1,1,1,1,0,0,0,0
7,3,"Atlanta, Georgia",Tres Russell,27,M,Luxury car salesman,Yes,Divorced,1,1,1,1,0,0,0,0
8,3,"Atlanta, Georgia",Ashley Doherty,30,F,Nursing student,No,Divorced,1,1,1,1,0,0,0,0
8,3,"Atlanta, Georgia",David Norton,29,M,Software account executive,Yes,Divorced,1,1,1,1,0,0,0,0
9,3,"Atlanta, Georgia",Samantha Role,30,F,Bank manager,Yes,Divorced,1,1,1,1,0,0,0,0
9,3,"Atlanta, Georgia",Neil Bowlus,31,M,Compliance specialist,Yes,Divorced,1,1,1,1,0,0,0,0
10,4,South Florida,Sonia Granados,33,F,Social worker,Yes,Divorced,1,0,0,0,1,1,0,0
10,4,South Florida,Nick Pendergrast,32,M,Vacation rental manager,Yes,Divorced,1,0,0,0,1,1,0,0
11,4,South Florida,Heather Seidel,32,F,Flight attendant,No,Divorced,1,0,0,0,1,1,0,0
11,4,South Florida,Derek Schwartz,35,M,Account executive,No,Divorced,1,0,0,0,1,1,0,0
12,4,South Florida,Lillian Vilchez,24,F,Realtor,Yes,Divorced,1,0,0,0,1,1,0,0
12,4,South Florida,Tom Wilson,29,M,Boat interior designer,Yes,Divorced,1,0,0,0,1,1,0,0
13,5,"Chicago, Illinois",Danielle DeGroot,30,F,Dietician,Yes,Divorced,1,0,0,0,1,1,0,0
13,5,"Chicago, Illinois",Cody Knapek,26,M,Trainer / gym owner,Yes,Divorced,1,0,0,0,1,1,0,0
